id,type,usage,superficie,ville,localisation,description,prix,option,statut
1,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-PARCELLE-DE-252-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAMPOUY-A-12.000.000,12000000.0,VENTE,PUBLIEE
2,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-250-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAMPOUY2-A-11.000.000,11000000.0,VENTE,PUBLIEE
3,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-200-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAMPOUY1-A-12.500.000,12500000.0,VENTE,PUBLIEE
4,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-350-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SAMADIN2-A-15.000.000,15000000.0,VENTE,PUBLIEE
5,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-300-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SAMADIN1-A-14.000.000,14000000.0,VENTE,PUBLIEE
6,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-350-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SAMADIN1-A-14.500.000,14500000.0,VENTE,PUBLIEE
7,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,PARCELLE-150-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-TAGHIN-A-16.500.000,16500000.0,VENTE,PUBLIEE
8,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,TRÈS-BONNE-OPPORTUNITÉ-D’UNE-PARCELLE-DE-660-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SOMGANDE-A-15.500.000,15500000.0,VENTE,PUBLIEE
9,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,TRÈS-BONNE-OPPORTUNITÉ-D’UNE-PARCELLE-DE-500-M²-EN-VENTE-A-OUAGADOUGOU-QUARTIER-SOMGANDE-A-16.500.000,16500000.0,VENTE,PUBLIEE
10,TERRAIN,RESIDENCE,250.0,Ouagadougou,Ouagadougou,UNE-BELLE-PARCELLE-D’UNE-SUPERFICIE-DE-418-M²-EN-VENTE-A-OUAGA2000-EXTENSION-SUD-A-14.000.000,14000000.0,VENTE,PUBLIEE
